DATA;CODCARRO;MODELO;CATEGORIA;QTD;VALOR_UNIT;VALOR_TOTAL;VENDEDOR;CONCESSIONARIA;ANO
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;152537,12;152537,12;Ana;MegaMotors;2024
01/01/2024;C1009;Nissan Kicks;SUV;1;115711,18;115711,18;Marcos;TopDrive;2024
01/01/2024;C1009;Nissan Kicks;SUV;1;129630,28;129630,28;Marcos;DriveTop;2024
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;127377,07;127377,07;Marcos;MegaMotors;2024
01/01/2024;C1001;Fiat Pulse;SUV;1;102935,53;102935,53;Beatriz;AutoVale;2024
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;152552,72;152552,72;Patrícia;AutoVale;2024
01/01/2024;C1007;Honda HR-V;SUV;1;167175,61;167175,61;Marcos;TopDrive;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;88035,65;88035,65;Fernanda;ViaLux;2024
01/01/2024;C1010;Fiat Strada;Picape;1;139459,66;139459,66;Pedro;AutoNorte;2024
01/01/2024;C1001;Fiat Pulse;SUV;1;114210,73;114210,73;Patrícia;AutoVale;2024
01/01/2024;C1004;Toyota Corolla;Sedan;1;150098,04;150098,04;Carlos;DriveTop;2024
01/01/2024;C1010;Fiat Strada;Picape;1;106838,89;106838,89;Beatriz;CarPrime;2024
01/01/2024;C1004;Toyota Corolla;Sedan;1;171996,56;171996,56;Ana;MegaMotors;2024
01/01/2024;C1004;Toyota Corolla;Sedan;1;168315,72;168315,72;João;CityCars;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;85728,41;85728,41;João;CarPrime;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;72717,94;72717,94;Carlos;AutoNorte;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;94721,94;94721,94;Patrícia;MegaMotors;2024
01/01/2024;C1006;Renault Kwid;Hatch;1;65520,17;65520,17;Ana;AutoVale;2024
01/01/2024;C1005;Jeep Compass;SUV;1;199154,7;199154,7;Marcos;AutoSul;2024
01/01/2024;C1001;Fiat Pulse;SUV;1;105407,65;105407,65;Carlos;DriveTop;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;90797,59;90797,59;Ana;AutoVale;2024
01/01/2024;C1010;Fiat Strada;Picape;1;133488,27;133488,27;Fernanda;PremiumCar;2024
02/01/2024;C1003;Volkswagen T-Cross;SUV;1;149990,58;149990,58;Marcos;CityCars;2024
02/01/2024;C1003;Volkswagen T-Cross;SUV;1;136774,77;136774,77;Carlos;CityCars;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;148422,35;148422,35;João;DriveTop;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;2;86874,83;173749,66;Julia;AutoVale;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;145796,52;145796,52;Beatriz;DriveTop;2024
02/01/2024;C1007;Honda HR-V;SUV;1;144498,15;144498,15;Julia;CarPrime;2024
02/01/2024;C1006;Renault Kwid;Hatch;2;76531,04;153062,08;Marcos;AutoVale;2024
02/01/2024;C1005;Jeep Compass;SUV;1;223060,59;223060,59;Marcos;CarPrime;2024
02/01/2024;C1003;Volkswagen T-Cross;SUV;1;148767,32;148767,32;Julia;AutoNorte;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;98670;98670;Ana;MegaMotors;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;104469;104469;Marcos;PremiumCar;2024
02/01/2024;C1001;Fiat Pulse;SUV;1;103536,06;103536,06;Carlos;AutoNorte;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;86698,52;86698,52;Ana;PremiumCar;2024
02/01/2024;C1003;Volkswagen T-Cross;SUV;1;140747,25;140747,25;Patrícia;AutoSul;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;142496,72;142496,72;Patrícia;CityCars;2024
02/01/2024;C1007;Honda HR-V;SUV;1;186090,16;186090,16;Pedro;ViaLux;2024
02/01/2024;C1006;Renault Kwid;Hatch;1;78652,82;78652,82;Pedro;AutoSul;2024
02/01/2024;C1001;Fiat Pulse;SUV;1;121140,1;121140,1;Patrícia;PremiumCar;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;137809,88;137809,88;Pedro;PremiumCar;2024
02/01/2024;C1007;Honda HR-V;SUV;1;188384,45;188384,45;João;PremiumCar;2024
02/01/2024;C1001;Fiat Pulse;SUV;1;115889,46;115889,46;Marcos;DriveTop;2024
02/01/2024;C1001;Fiat Pulse;SUV;1;103547,84;103547,84;Marcos;AutoNorte;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;81518,08;81518,08;Julia;MegaMotors;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;134383,78;134383,78;Julia;PremiumCar;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;144944,25;144944,25;Julia;DriveTop;2024
02/01/2024;C1006;Renault Kwid;Hatch;2;85083,48;170166,96;Julia;CityCars;2024
02/01/2024;C1007;Honda HR-V;SUV;1;168766,25;168766,25;Carlos;PremiumCar;2024
02/01/2024;C1003;Volkswagen T-Cross;SUV;1;148189,42;148189,42;Beatriz;CityCars;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;82227,71;82227,71;Julia;AutoNorte;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;88538,76;88538,76;João;AutoNorte;2024
02/01/2024;C1002;Chevrolet Onix;Hatch;1;85456,6;85456,6;Fernanda;AutoNorte;2024
02/01/2024;C1010;Fiat Strada;Picape;1;117675,13;117675,13;Marcos;CityCars;2024
02/01/2024;C1007;Honda HR-V;SUV;1;187654,41;187654,41;Ana;DriveTop;2024
02/01/2024;C1001;Fiat Pulse;SUV;1;123376,29;123376,29;Marcos;TopDrive;2024
02/01/2024;C1005;Jeep Compass;SUV;1;220537,94;220537,94;Patrícia;AutoVale;2024
02/01/2024;C1009;Nissan Kicks;SUV;1;125730,69;125730,69;Julia;PremiumCar;2024
03/01/2024;C1003;Volkswagen T-Cross;SUV;1;147533,87;147533,87;Ana;DriveTop;2024
03/01/2024;C1004;Toyota Corolla;Sedan;1;143217,24;143217,24;Julia;CityCars;2024
03/01/2024;C1006;Renault Kwid;Hatch;2;66595,93;133191,86;Fernanda;DriveTop;2024
03/01/2024;C1007;Honda HR-V;SUV;2;138187,16;276374,32;Marcos;AutoVale;2024
03/01/2024;C1002;Chevrolet Onix;Hatch;1;75223,16;75223,16;Pedro;CityCars;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;87639,92;87639,92;Patrícia;AutoVale;2024
03/01/2024;C1007;Honda HR-V;SUV;1;140398,84;140398,84;Patrícia;ViaLux;2024
03/01/2024;C1010;Fiat Strada;Picape;1;122499,75;122499,75;Marcos;MegaMotors;2024
03/01/2024;C1003;Volkswagen T-Cross;SUV;1;120222,79;120222,79;Marcos;AutoNorte;2024
03/01/2024;C1004;Toyota Corolla;Sedan;1;166397,66;166397,66;Ana;AutoVale;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;121480,88;121480,88;Carlos;TopDrive;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;99069,92;99069,92;Julia;AutoVale;2024
03/01/2024;C1009;Nissan Kicks;SUV;1;143579,51;143579,51;Pedro;AutoVale;2024
03/01/2024;C1008;Hyundai HB20;Hatch;2;87937,8;175875,6;Carlos;AutoSul;2024
03/01/2024;C1010;Fiat Strada;Picape;1;125651,2;125651,2;Ana;TopDrive;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;99510,97;99510,97;Marcos;AutoNorte;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;106861,91;106861,91;Fernanda;PremiumCar;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;97178,2;97178,2;Marcos;DriveTop;2024
03/01/2024;C1005;Jeep Compass;SUV;1;163725,55;163725,55;Fernanda;MegaMotors;2024
03/01/2024;C1010;Fiat Strada;Picape;1;118666;118666;Carlos;AutoVale;2024
03/01/2024;C1002;Chevrolet Onix;Hatch;1;86412,5;86412,5;Beatriz;CityCars;2024
03/01/2024;C1006;Renault Kwid;Hatch;1;70880,27;70880,27;Pedro;MegaMotors;2024
03/01/2024;C1007;Honda HR-V;SUV;1;143258,49;143258,49;Ana;PremiumCar;2024
03/01/2024;C1009;Nissan Kicks;SUV;1;110026,19;110026,19;Ana;TopDrive;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;88691,4;88691,4;Carlos;AutoNorte;2024
03/01/2024;C1003;Volkswagen T-Cross;SUV;1;124051,62;124051,62;Julia;CarPrime;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;116631,82;116631,82;Carlos;AutoVale;2024
03/01/2024;C1009;Nissan Kicks;SUV;1;142929,53;142929,53;Ana;MegaMotors;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;86864,36;86864,36;Ana;AutoVale;2024
03/01/2024;C1004;Toyota Corolla;Sedan;1;168848,64;168848,64;Julia;PremiumCar;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;122703,62;122703,62;Julia;TopDrive;2024
03/01/2024;C1004;Toyota Corolla;Sedan;2;166338,06;332676,12;Marcos;PremiumCar;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;87670,66;87670,66;Patrícia;AutoVale;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;77802,88;77802,88;Fernanda;AutoVale;2024
03/01/2024;C1004;Toyota Corolla;Sedan;1;168964,29;168964,29;Carlos;TopDrive;2024
03/01/2024;C1007;Honda HR-V;SUV;2;191079,29;382158,58;Fernanda;AutoVale;2024
03/01/2024;C1006;Renault Kwid;Hatch;1;89487,17;89487,17;Marcos;PremiumCar;2024
03/01/2024;C1005;Jeep Compass;SUV;1;203416,22;203416,22;Pedro;AutoVale;2024
03/01/2024;C1003;Volkswagen T-Cross;SUV;1;152750,92;152750,92;Julia;TopDrive;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;97607,33;97607,33;Ana;AutoNorte;2024
03/01/2024;C1010;Fiat Strada;Picape;2;123832,03;247664,06;Fernanda;TopDrive;2024
03/01/2024;C1010;Fiat Strada;Picape;1;110190,68;110190,68;Julia;AutoVale;2024
03/01/2024;C1007;Honda HR-V;SUV;1;151127,61;151127,61;Ana;PremiumCar;2024
03/01/2024;C1006;Renault Kwid;Hatch;1;73021,22;73021,22;Marcos;TopDrive;2024
03/01/2024;C1006;Renault Kwid;Hatch;1;85690,53;85690,53;Carlos;AutoSul;2024
03/01/2024;C1008;Hyundai HB20;Hatch;1;99653,33;99653,33;Beatriz;DriveTop;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;123463,75;123463,75;Fernanda;AutoVale;2024
03/01/2024;C1005;Jeep Compass;SUV;1;204369,81;204369,81;Ana;AutoVale;2024
03/01/2024;C1010;Fiat Strada;Picape;1;141459,46;141459,46;João;AutoVale;2024
03/01/2024;C1002;Chevrolet Onix;Hatch;1;89066,06;89066,06;Carlos;AutoSul;2024
03/01/2024;C1005;Jeep Compass;SUV;1;196723,11;196723,11;Marcos;DriveTop;2024
03/01/2024;C1005;Jeep Compass;SUV;1;227898,33;227898,33;Ana;CarPrime;2024
03/01/2024;C1001;Fiat Pulse;SUV;1;124250,28;124250,28;Carlos;AutoVale;2024
03/01/2024;C1010;Fiat Strada;Picape;1;143686,62;143686,62;João;AutoVale;2024
03/01/2024;C1010;Fiat Strada;Picape;1;131145,75;131145,75;Fernanda;TopDrive;2024
03/01/2024;C1009;Nissan Kicks;SUV;1;133980,6;133980,6;Ana;CityCars;2024
03/01/2024;C1005;Jeep Compass;SUV;1;192790,53;192790,53;Julia;AutoSul;2024
03/01/2024;C1010;Fiat Strada;Picape;1;135354,33;135354,33;Fernanda;AutoVale;2024
03/01/2024;C1010;Fiat Strada;Picape;1;135526,92;135526,92;Patrícia;MegaMotors;2024
03/01/2024;C1002;Chevrolet Onix;Hatch;1;85520,54;85520,54;Julia;TopDrive;2024
04/01/2024;C1005;Jeep Compass;SUV;1;223534,65;223534,65;Fernanda;AutoVale;2024
04/01/2024;C1005;Jeep Compass;SUV;1;214331,34;214331,34;Julia;AutoVale;2024
04/01/2024;C1010;Fiat Strada;Picape;2;129459,28;258918,56;Marcos;PremiumCar;2024
04/01/2024;C1010;Fiat Strada;Picape;1;124137,58;124137,58;Fernanda;CityCars;2024
04/01/2024;C1002;Chevrolet Onix;Hatch;1;79034,65;79034,65;Carlos;MegaMotors;2024
04/01/2024;C1010;Fiat Strada;Picape;1;106734,6;106734,6;Ana;AutoVale;2024
04/01/2024;C1002;Chevrolet Onix;Hatch;2;80298,22;160596,44;João;AutoNorte;2024
04/01/2024;C1007;Honda HR-V;SUV;2;182328,16;364656,32;Julia;TopDrive;2024
04/01/2024;C1010;Fiat Strada;Picape;2;121202,74;242405,48;Julia;CityCars;2024
04/01/2024;C1008;Hyundai HB20;Hatch;1;77748,86;77748,86;Patrícia;MegaMotors;2024
04/01/2024;C1003;Volkswagen T-Cross;SUV;1;139813,15;139813,15;João;CarPrime;2024
04/01/2024;C1005;Jeep Compass;SUV;3;216247,67;648743,01;Marcos;AutoSul;2024
04/01/2024;C1004;Toyota Corolla;Sedan;2;178987,19;357974,38;Carlos;TopDrive;2024
04/01/2024;C1004;Toyota Corolla;Sedan;1;165093,47;165093,47;Marcos;TopDrive;2024
04/01/2024;C1006;Renault Kwid;Hatch;3;88571,16;265713,48;Patrícia;PremiumCar;2024
04/01/2024;C1008;Hyundai HB20;Hatch;1;87120,37;87120,37;Marcos;AutoNorte;2024
04/01/2024;C1003;Volkswagen T-Cross;SUV;1;137910,45;137910,45;Marcos;AutoSul;2024
04/01/2024;C1008;Hyundai HB20;Hatch;1;90947,13;90947,13;Julia;AutoNorte;2024
04/01/2024;C1006;Renault Kwid;Hatch;1;85288,6;85288,6;Fernanda;PremiumCar;2024
04/01/2024;C1005;Jeep Compass;SUV;1;204492,26;204492,26;Marcos;AutoVale;2024
04/01/2024;C1008;Hyundai HB20;Hatch;1;77367,79;77367,79;Carlos;AutoVale;2024
04/01/2024;C1010;Fiat Strada;Picape;1;120528,92;120528,92;Marcos;DriveTop;2024
04/01/2024;C1005;Jeep Compass;SUV;1;182146,84;182146,84;Marcos;AutoSul;2024
04/01/2024;C1001;Fiat Pulse;SUV;1;122729,37;122729,37;Julia;TopDrive;2024
04/01/2024;C1003;Volkswagen T-Cross;SUV;1;142804,27;142804,27;João;DriveTop;2024
04/01/2024;C1006;Renault Kwid;Hatch;1;86299,97;86299,97;Carlos;PremiumCar;2024
04/01/2024;C1010;Fiat Strada;Picape;2;139871,75;279743,5;Patrícia;CityCars;2024
04/01/2024;C1005;Jeep Compass;SUV;1;168379,07;168379,07;Fernanda;AutoSul;2024
04/01/2024;C1002;Chevrolet Onix;Hatch;1;104649,94;104649,94;Carlos;AutoVale;2024
04/01/2024;C1001;Fiat Pulse;SUV;1;111810,5;111810,5;Fernanda;DriveTop;2024
04/01/2024;C1004;Toyota Corolla;Sedan;1;174152,4;174152,4;João;DriveTop;2024
04/01/2024;C1005;Jeep Compass;SUV;1;215259,57;215259,57;Marcos;CityCars;2024
04/01/2024;C1003;Volkswagen T-Cross;SUV;1;159536,12;159536,12;Fernanda;CityCars;2024
04/01/2024;C1002;Chevrolet Onix;Hatch;1;79330,39;79330,39;Julia;AutoSul;2024
04/01/2024;C1006;Renault Kwid;Hatch;1;69620,2;69620,2;Ricardo;PremiumCar;2024
04/01/2024;C1005;Jeep Compass;SUV;1;219156,41;219156,41;Carlos;AutoNorte;2024
04/01/2024;C1008;Hyundai HB20;Hatch;1;78143,36;78143,36;Ana;AutoVale;2024
04/01/2024;C1005;Jeep Compass;SUV;1;162914,28;162914,28;Julia;AutoNorte;2024
04/01/2024;C1009;Nissan Kicks;SUV;1;115724,71;115724,71;Patrícia;AutoVale;2024
04/01/2024;C1001;Fiat Pulse;SUV;1;98316,81;98316,81;Fernanda;CarPrime;2024
04/01/2024;C1002;Chevrolet Onix;Hatch;1;102125,14;102125,14;Pedro;AutoVale;2024
05/01/2024;C1010;Fiat Strada;Picape;1;130684,09;130684,09;Pedro;AutoVale;2024
05/01/2024;C1003;Volkswagen T-Cross;SUV;1;121185,03;121185,03;Ana;AutoNorte;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;80116,13;80116,13;Marcos;PremiumCar;2024
05/01/2024;C1007;Honda HR-V;SUV;1;182621,83;182621,83;Carlos;MegaMotors;2024
05/01/2024;C1001;Fiat Pulse;SUV;3;103754,69;311264,07;Fernanda;ViaLux;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;76408,12;76408,12;Fernanda;DriveTop;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;86679,9;86679,9;Patrícia;AutoVale;2024
05/01/2024;C1005;Jeep Compass;SUV;1;170835,73;170835,73;Julia;CityCars;2024
05/01/2024;C1010;Fiat Strada;Picape;1;109321,47;109321,47;Marcos;AutoSul;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;97432,47;97432,47;Carlos;ViaLux;2024
05/01/2024;C1009;Nissan Kicks;SUV;1;130568,01;130568,01;Julia;CarPrime;2024
05/01/2024;C1009;Nissan Kicks;SUV;1;125853,56;125853,56;Fernanda;PremiumCar;2024
05/01/2024;C1008;Hyundai HB20;Hatch;2;82737,21;165474,42;Ricardo;MegaMotors;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;97052,83;97052,83;Carlos;MegaMotors;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;123722,52;123722,52;Ana;MegaMotors;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;89701,79;89701,79;Ana;AutoNorte;2024
05/01/2024;C1006;Renault Kwid;Hatch;3;76753,38;230260,14;João;CityCars;2024
05/01/2024;C1004;Toyota Corolla;Sedan;1;156123,33;156123,33;Julia;AutoVale;2024
05/01/2024;C1002;Chevrolet Onix;Hatch;1;93595,36;93595,36;Julia;DriveTop;2024
05/01/2024;C1003;Volkswagen T-Cross;SUV;1;156725,22;156725,22;Patrícia;DriveTop;2024
05/01/2024;C1009;Nissan Kicks;SUV;1;110927,05;110927,05;Pedro;AutoVale;2024
05/01/2024;C1005;Jeep Compass;SUV;1;183771,07;183771,07;João;MegaMotors;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;93892,05;93892,05;Fernanda;MegaMotors;2024
05/01/2024;C1004;Toyota Corolla;Sedan;1;169120,52;169120,52;Pedro;AutoVale;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;107218,37;107218,37;João;AutoVale;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;104570,77;104570,77;Ana;CarPrime;2024
05/01/2024;C1006;Renault Kwid;Hatch;1;78274,06;78274,06;Ana;DriveTop;2024
05/01/2024;C1009;Nissan Kicks;SUV;1;120766,72;120766,72;Pedro;AutoVale;2024
05/01/2024;C1002;Chevrolet Onix;Hatch;1;87767,55;87767,55;João;AutoSul;2024
05/01/2024;C1006;Renault Kwid;Hatch;1;77793,62;77793,62;Beatriz;MegaMotors;2024
05/01/2024;C1007;Honda HR-V;SUV;1;159651,67;159651,67;João;MegaMotors;2024
05/01/2024;C1003;Volkswagen T-Cross;SUV;1;149700,94;149700,94;Ricardo;DriveTop;2024
05/01/2024;C1002;Chevrolet Onix;Hatch;1;84019,15;84019,15;Julia;AutoVale;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;78320,09;78320,09;Carlos;ViaLux;2024
05/01/2024;C1009;Nissan Kicks;SUV;1;147948,01;147948,01;Julia;AutoVale;2024
05/01/2024;C1003;Volkswagen T-Cross;SUV;1;148535,28;148535,28;Fernanda;MegaMotors;2024
05/01/2024;C1005;Jeep Compass;SUV;1;187391,83;187391,83;Pedro;CityCars;2024
05/01/2024;C1010;Fiat Strada;Picape;1;139752,05;139752,05;Pedro;MegaMotors;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;120675,5;120675,5;Ricardo;PremiumCar;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;79055,96;79055,96;Marcos;CarPrime;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;99946,83;99946,83;Marcos;AutoSul;2024
05/01/2024;C1001;Fiat Pulse;SUV;2;100113,74;200227,48;Ana;AutoVale;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;114206,49;114206,49;Carlos;PremiumCar;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;88155,01;88155,01;Marcos;AutoVale;2024
05/01/2024;C1007;Honda HR-V;SUV;1;181979,23;181979,23;Marcos;AutoSul;2024
05/01/2024;C1006;Renault Kwid;Hatch;1;80906,12;80906,12;Carlos;CarPrime;2024
05/01/2024;C1010;Fiat Strada;Picape;1;122944,06;122944,06;Marcos;CarPrime;2024
05/01/2024;C1010;Fiat Strada;Picape;3;137399,39;412198,17;Fernanda;PremiumCar;2024
05/01/2024;C1003;Volkswagen T-Cross;SUV;1;142033,56;142033,56;Fernanda;DriveTop;2024
05/01/2024;C1001;Fiat Pulse;SUV;1;102478,72;102478,72;Marcos;CarPrime;2024
05/01/2024;C1008;Hyundai HB20;Hatch;1;99180,27;99180,27;Fernanda;MegaMotors;2024
06/01/2024;C1002;Chevrolet Onix;Hatch;1;79216,8;79216,8;Fernanda;ViaLux;2024
06/01/2024;C1010;Fiat Strada;Picape;1;121953,28;121953,28;Marcos;AutoVale;2024
06/01/2024;C1005;Jeep Compass;SUV;1;207763,71;207763,71;Julia;CarPrime;2024
06/01/2024;C1006;Renault Kwid;Hatch;1;68863,87;68863,87;Patrícia;CarPrime;2024
06/01/2024;C1007;Honda HR-V;SUV;1;138221,94;138221,94;João;CityCars;2024
06/01/2024;C1008;Hyundai HB20;Hatch;1;96304,42;96304,42;Marcos;PremiumCar;2024
06/01/2024;C1001;Fiat Pulse;SUV;1;110074,26;110074,26;Ana;AutoNorte;2024
06/01/2024;C1001;Fiat Pulse;SUV;1;111549,41;111549,41;Ana;AutoSul;2024
06/01/2024;C1002;Chevrolet Onix;Hatch;1;104226,04;104226,04;Marcos;AutoNorte;2024
06/01/2024;C1003;Volkswagen T-Cross;SUV;1;137050;137050;João;PremiumCar;2024
06/01/2024;C1005;Jeep Compass;SUV;1;194420,81;194420,81;Marcos;ViaLux;2024
06/01/2024;C1008;Hyundai HB20;Hatch;1;88013,84;88013,84;Julia;CarPrime;2024
06/01/2024;C1001;Fiat Pulse;SUV;3;106801,99;320405,97;Julia;TopDrive;2024
06/01/2024;C1001;Fiat Pulse;SUV;1;124678,31;124678,31;Ana;TopDrive;2024
06/01/2024;C1002;Chevrolet Onix;Hatch;1;90661,33;90661,33;Marcos;DriveTop;2024
06/01/2024;C1006;Renault Kwid;Hatch;1;80662,02;80662,02;Julia;AutoVale;2024
06/01/2024;C1010;Fiat Strada;Picape;1;122108,29;122108,29;Carlos;CarPrime;2024
06/01/2024;C1003;Volkswagen T-Cross;SUV;1;136313,03;136313,03;Ana;DriveTop;2024
06/01/2024;C1010;Fiat Strada;Picape;1;113449,36;113449,36;Ricardo;ViaLux;2024
06/01/2024;C1007;Honda HR-V;SUV;1;148735,6;148735,6;João;AutoVale;2024
06/01/2024;C1009;Nissan Kicks;SUV;2;141701,2;283402,4;Patrícia;DriveTop;2024
06/01/2024;C1006;Renault Kwid;Hatch;1;74042,37;74042,37;Ana;DriveTop;2024
06/01/2024;C1009;Nissan Kicks;SUV;1;134762,99;134762,99;Marcos;AutoVale;2024
06/01/2024;C1009;Nissan Kicks;SUV;1;144095,62;144095,62;Beatriz;AutoVale;2024
06/01/2024;C1001;Fiat Pulse;SUV;2;99571,47;199142,94;Marcos;PremiumCar;2024
06/01/2024;C1010;Fiat Strada;Picape;2;116589,64;233179,28;João;AutoNorte;2024
06/01/2024;C1010;Fiat Strada;Picape;1;107000,09;107000,09;Julia;AutoVale;2024
06/01/2024;C1010;Fiat Strada;Picape;1;137063,84;137063,84;Patrícia;AutoNorte;2024
06/01/2024;C1009;Nissan Kicks;SUV;2;126808,97;253617,94;João;CarPrime;2024
06/01/2024;C1002;Chevrolet Onix;Hatch;1;89331,88;89331,88;Patrícia;AutoVale;2024
06/01/2024;C1008;Hyundai HB20;Hatch;2;79460,22;158920,44;Marcos;MegaMotors;2024
06/01/2024;C1002;Chevrolet Onix;Hatch;1;103640,15;103640,15;Carlos;AutoVale;2024
06/01/2024;C1006;Renault Kwid;Hatch;1;85607,77;85607,77;Ana;AutoVale;2024
06/01/2024;C1006;Renault Kwid;Hatch;3;71162,58;213487,74;Marcos;CityCars;2024
06/01/2024;C1008;Hyundai HB20;Hatch;1;76471,59;76471,59;Carlos;CityCars;2024
06/01/2024;C1007;Honda HR-V;SUV;1;176432,59;176432,59;Ana;CityCars;2024
06/01/2024;C1009;Nissan Kicks;SUV;3;132868,17;398604,51;Fernanda;AutoVale;2024
